Periodo de Cobertura,Total Afiliados,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y Más,Year,Month,Sexo
2007-09-01,672023,42738,48299,42368,33804,74147,91618,81181,70415,59655,43445,33363,22566,13451,7578,4011,2066,725,593,2007,9,M
2007-10-01,746727,46257,56124,52793,42657,75706,94542,85643,75848,66716,50907,39589,26727,15739,8991,4643,2365,815,665,2007,10,M
2007-11-01,763293,48183,59325,55658,44385,77253,95945,86544,76853,67285,51399,39792,26969,15908,9054,4776,2422,856,686,2007,11,M
2007-12-01,792406,50793,63102,59451,47350,78402,98814,89150,79039,69104,53082,41177,28085,16488,9399,4922,2478,869,701,2007,12,M
2008-01-01,794895,51165,64515,60949,47410,77431,98206,89264,79118,69183,53119,41134,28082,16561,9521,5036,2546,918,737,2008,1,M
2008-02-01,797721,53043,66536,62608,48332,76925,97701,88664,78428,68871,52751,40873,27717,16425,9448,5105,2596,950,748,2008,2,M
2008-03-01,816841,53662,67742,63638,49175,78558,99699,90721,80545,70920,54379,41995,28681,17214,9961,5399,2740,1030,782,2008,3,M
2008-04-01,835553,55205,69426,65289,51405,81619,101828,92492,81599,71955,55353,42651,28956,17510,10105,5479,2806,1075,800,2008,4,M
2008-05-01,842331,57958,72952,68336,52282,79510,100557,91458,81313,71734,55644,43011,29185,17784,10189,5596,2891,1109,822,2008,5,M
2008-06-01,866964,59633,75352,70799,54099,81112,102594,93486,83308,73580,57642,44616,30418,18680,10727,5849,3035,1167,867,2008,6,M
2008-07-01,876911,61101,77414,72721,55769,82012,102830,93599,83518,73499,57903,44810,30602,18838,10982,5990,3189,1226,908,2008,7,M
2008-08-01,883846,60567,75951,71031,55980,83750,104386,94734,84535,74560,58965,45670,31370,19330,11334,6165,3295,1286,937,2008,8,M
2008-09-01,881538,60847,76804,71802,56275,82937,103224,94055,83919,73910,58825,45476,31266,19338,11236,6110,3293,1292,929,2008,9,M
2008-10-01,892986,61347,78464,73376,56700,82314,103866,95347,84969,74902,59959,46260,32102,19816,11521,6327,3401,1353,962,2008,10,M
2008-11-01,892314,61887,79156,74090,57353,81875,102396,94256,84165,74371,60012,46410,32317,20068,11664,6457,3462,1404,971,2008,11,M
2008-12-01,890325,62839,80481,75512,58030,80657,100857,93225,83144,73398,59612,46148,32213,20045,11665,6513,3528,1452,1006,2008,12,M
2009-01-01,910739,66344,83773,78544,59866,81691,101948,94435,84289,74507,60346,46879,32895,20422,11910,6708,3646,1505,1031,2009,1,M
2009-02-01,919128,67908,85298,80236,60633,81550,101726,94700,84729,75000,60809,47315,33344,20620,12152,6791,3724,1544,1049,2009,2,M
2009-03-01,928319,69257,86587,81569,61339,81320,102152,95426,85472,75571,61510,47695,33788,20911,12233,6949,3832,1630,1078,2009,3,M
2009-04-01,947286,71946,89402,83955,63063,81836,102737,96814,86700,76516,62564,48439,34499,21381,12633,7379,4214,1883,1325,2009,4,M
2009-05-01,942552,72673,89858,84673,63309,80796,100918,95544,85490,75483,62007,48024,34518,21456,12645,7555,4287,1945,1371,2009,5,M
2009-06-01,964573,75002,92114,86977,65463,82125,102157,97347,87247,77007,63510,49145,35480,22238,13052,7802,4425,2069,1413,2009,6,M
2009-07-01,990477,77505,94816,89706,67536,83444,103652,99224,88888,79038,65472,50839,36737,23288,13692,8237,4699,2194,1510,2009,7,M
2009-08-01,1037114,80930,99243,94103,70823,85581,106284,102431,92482,82716,68983,54341,39908,25677,15249,9149,5152,2447,1615,2009,8,M
2009-09-01,1050560,82040,100597,95694,72400,86673,106739,103645,93304,83523,69852,55102,40506,26126,15517,9363,5308,2503,1668,2009,9,M
2009-10-01,1059406,83716,102890,98153,73235,86323,106475,103915,93521,83699,69942,55441,40941,26349,15590,9521,5410,2569,1716,2009,10,M
2009-11-01,1069302,85720,104229,99979,74098,86643,106529,104174,93755,84171,70257,56029,41410,26869,15868,9725,5492,2612,1742,2009,11,M
2009-12-01,1078809,87103,105769,101818,74656,86879,106513,104815,93844,84659,70600,56711,41857,27367,16087,9943,5632,2758,1798,2009,12,M
2010-01-01,1091583,89249,107561,103700,76631,88213,107235,105557,94359,84930,70995,56803,42153,27573,16116,10121,5688,2871,1828,2010,1,M
2010-02-01,1100535,89473,107994,104296,76838,89107,107829,106626,95361,85681,71730,57586,42774,28009,16331,10294,5807,2937,1862,2010,2,M
2010-03-01,1125001,93454,110578,106763,78928,91421,109771,108672,96893,87171,72818,58403,43461,28667,16662,10536,5899,3025,1879,2010,3,M
2010-04-01,1146859,95921,112626,108593,80468,93669,111959,110885,98899,88905,74019,59129,44208,29232,16716,10738,5930,3076,1886,2010,4,M
2010-05-01,1145193,96741,113205,109150,80233,92603,111157,110292,98125,88517,73793,58917,44328,29299,16825,10800,6037,3216,1955,2010,5,M
2010-06-01,1141551,97218,113123,109027,80606,92643,110699,109984,97359,88063,73123,58294,43934,29075,16551,10704,5995,3201,1952,2010,6,M
2010-07-01,1153675,98101,114005,110326,81801,93844,111663,110691,98151,88908,73859,58876,44463,29741,16862,10893,6151,3332,2008,2010,7,M
2010-08-01,1163614,98924,115300,111775,82830,94485,112260,111589,98954,89441,74462,59103,44753,30048,17050,10955,6247,3377,2061,2010,8,M
2010-09-01,1176939,99892,116621,113956,84268,95285,113000,112524,100077,90010,75442,59706,45325,30416,17274,11144,6341,3524,2134,2010,9,M
2010-10-01,1183811,100409,117181,115126,84813,95878,113387,113436,100542,90516,76028,59860,45480,30403,17377,11197,6416,3577,2185,2010,10,M
2010-11-01,1196862,102145,118640,116946,85891,96676,113800,114835,101473,91157,76925,60348,46037,30740,17547,11329,6459,3675,2239,2010,11,M
2010-12-01,1210126,102912,119686,118462,86773,98084,114782,115919,102493,91988,77887,60908,46725,31306,17956,11556,6570,3803,2316,2010,12,M
2011-01-01,1208001,103063,119334,118871,87142,98051,114073,115347,101575,91517,77538,60662,46910,31353,18015,11643,6712,3842,2353,2011,1,M
