Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Distrito Nacional,Monte Plata,Santo Domingo,Total Región Este,Total V - Este,El Seybo,Hato Mayor del Rey,La Altagracia,La Romana,San Pedro de Macorís,Total Región Norte,Total II - Norcentral,Espaillat,Puerto Plata,Santiago,Total III - Nordeste,Duarte,Hermanas Mirabal,Maria Trinidad Sanchez,Samana,Total VII - Cibao Occidental,Dajabon,Montecristi,Santiago Rodriguez,Valverde,Total VIII - Cibao Central,La vega,Monseñor Nouel,Sanchez Ramirez,Total Región Sur,Total I - Valdesia,Peravia,San Cristóbal,San jose de Ocoa,Total IV - Enriquillo,Bahoruco,Barahona,Independencia,Pedernales,Total VI - El Valle,Azua,Elias Piña,San Juan de la Maguana,No Especificada,Month,Year,Periodo de Cobertura
805496,334858,334858,284414,4006,46438,66088,66088,2467,3183,17629,23224,19585,161131,102943,8688,18005,76250,18234,10557,2607,2996,2074,12494,2219,2843,1847,5585,27460,15694,7596,4170,58092,34027,5026,27535,1466,11060,2626,5914,1714,806,13005,4759,1614,6632,185327,9,2007,2007-09-01
903242,362220,362220,306444,6426,49350,71774,71774,3123,4385,18396,24178,21692,191360,113590,10380,20983,82227,25669,13853,4259,4575,2982,17162,3088,4162,2618,7294,34939,18837,9673,6429,73683,39397,5767,31480,2150,15992,3952,8423,2542,1075,18294,6684,2354,9256,204205,10,2007,2007-10-01
915500,362981,362981,307214,6331,49436,72303,72303,3118,4398,18277,24148,22362,194285,115883,10385,21117,84381,25594,13852,4327,4556,2859,17286,3073,4251,2601,7361,35522,19085,9884,6553,74948,40537,5870,32515,2152,16041,3990,8470,2541,1040,18370,6705,2352,9313,210983,11,2007,2007-11-01
941619,371593,371593,313912,6679,51002,73465,73465,3155,4598,18033,24662,23017,197388,115896,10740,21226,83930,26242,14101,4395,4777,2969,17757,3175,4399,2661,7522,37493,20932,9818,6743,76237,41005,5987,32747,2271,16327,4103,8559,2596,1069,18905,6907,2379,9619,222936,12,2007,2007-12-01
939349,369779,369779,312036,6723,51020,75946,75946,3446,4698,19202,25257,23343,198171,116903,10804,21677,84422,26358,14196,4427,4726,3009,17450,3154,4304,2629,7363,37460,20732,9953,6775,76239,41199,6104,32880,2215,16232,4040,8537,2584,1071,18808,6868,2388,9552,219214,1,2008,2008-01-01
932574,367354,367354,310094,6420,50840,76014,76014,3234,4639,19443,25265,23433,195309,114549,10678,21850,82021,26446,14227,4423,4727,3069,17356,3148,4281,2572,7355,36958,20275,9922,6761,75611,40558,5958,32412,2188,16475,4077,8795,2548,1055,18578,6784,2371,9423,218286,2,2008,2008-02-01
951361,370943,370943,313055,6722,51166,76629,76629,3393,4773,19493,25261,23709,200056,117804,10901,22019,84884,26554,14314,4490,4633,3117,17569,3190,4334,2631,7414,38129,21278,10048,6803,77008,41665,6003,33438,2224,16569,4096,8848,2580,1045,18774,6861,2377,9536,226725,3,2008,2008-03-01
969551,370061,370061,312042,6697,51322,77058,77058,3507,4773,19275,25462,24041,201124,118913,11339,22228,85346,26615,14248,4541,4712,3114,17499,3160,4301,2612,7426,38097,21206,10073,6818,76648,41192,5978,32979,2235,16517,4078,8835,2564,1040,18939,6901,2387,9651,244660,4,2008,2008-04-01
962794,369689,369689,311664,6542,51483,77113,77113,3493,4611,19103,25582,24324,200992,119025,11357,22024,85644,26691,14263,4595,4742,3091,17627,3164,4350,2613,7500,37649,20787,9984,6878,76890,41354,6024,33104,2226,16492,4056,8847,2560,1029,19044,6943,2389,9712,238110,5,2008,2008-05-01
982560,375269,375269,315818,6864,52587,76718,76718,3509,4756,18956,25368,24129,203917,120215,11641,21923,86651,26984,14430,4653,4856,3045,17990,3240,4471,2640,7639,38728,21786,10016,6926,78576,42194,6193,33650,2351,16874,4202,9002,2594,1076,19508,7049,2448,10011,248080,6,2008,2008-06-01
975992,372065,372065,313093,6571,52401,75885,75885,3539,4409,18607,25191,24139,201743,119575,11679,21672,86224,26751,14214,4679,4851,3007,18077,3241,4412,2649,7775,37340,21015,9427,6898,77978,41761,6174,33231,2356,16720,4118,8923,2591,1088,19497,7109,2434,9954,248321,7,2008,2008-07-01
987719,371905,371905,312378,6602,52925,74741,74741,3422,4380,18670,24797,23472,201591,120248,11390,22209,86649,27294,14598,4709,4966,3021,18279,3258,4517,2633,7871,35770,19989,8882,6899,78196,41792,6096,33316,2380,16646,4112,8864,2592,1078,19758,7213,2445,10100,261286,8,2008,2008-08-01
982420,370381,370381,310466,6573,53342,74358,74358,3489,4518,18528,24635,23188,201381,119612,11495,21999,86118,27028,14307,4715,4943,3063,18341,3245,4523,2643,7930,36400,20231,9226,6943,77378,41001,6049,32569,2383,16618,4120,8820,2592,1086,19759,7231,2467,10061,258922,9,2008,2008-09-01
990262,375576,375576,314255,6908,54413,75435,75435,3658,4731,18262,25007,23777,203680,120286,11699,21985,86602,27158,14396,4721,4969,3072,18756,3383,4597,2673,8103,37480,21170,9294,7016,78929,41996,6275,33313,2408,16833,4161,8965,2607,1100,20100,7347,2492,10261,256642,10,2008,2008-10-01
988605,372502,372502,311366,6755,54381,73139,73139,3599,4633,17593,24419,22895,201686,119881,11727,21535,86619,27249,14540,4742,4992,2975,19007,3466,4635,2699,8207,35549,19616,8905,7028,78984,41968,6293,33275,2400,16780,4148,8937,2592,1103,20236,7351,2506,10379,262294,11,2008,2008-11-01
981402,369213,369213,308596,6716,53901,73133,73133,3609,4634,17730,24538,22622,200252,118483,11623,21608,85252,27353,14599,4730,4988,3036,18988,3460,4679,2704,8145,35428,19474,8915,7039,78212,41402,6321,32662,2419,16745,4141,8920,2581,1103,20065,7244,2488,10333,260592,12,2008,2008-12-01
990803,372972,372972,311142,7058,54772,74694,74694,3671,4793,18597,24848,22785,199873,117273,11764,21293,84216,27486,14710,4722,5081,2973,19021,3475,4674,2696,8176,36093,19794,9125,7174,78862,41463,6335,32676,2452,17037,4270,9029,2631,1107,20362,7365,2475,10522,264402,1,2009,2009-01-01
991334,371580,371580,309615,6761,55204,76437,76437,3731,4765,19013,25270,23658,198586,116318,11485,21944,82889,27789,14815,4744,5136,3094,18992,3503,4691,2717,8081,35487,19504,8826,7157,79108,41630,6417,32759,2454,17093,4240,9079,2657,1117,20385,7377,2489,10519,265623,2,2009,2009-02-01
995438,369837,369837,307457,7113,55267,76775,76775,3821,4907,18939,25465,23643,201711,117967,11903,21700,84364,28132,15003,4810,5217,3102,18982,3452,4711,2711,8108,36630,20403,9011,7216,79634,41848,6579,32840,2429,17085,4275,9041,2626,1143,20701,7561,2496,10644,267481,3,2009,2009-03-01
1007585,373054,373054,310015,7197,55842,76793,76793,3836,4915,18871,25665,23506,203908,119401,12063,22294,85044,28535,15197,4873,5314,3151,19069,3461,4712,2740,8156,36903,20510,9108,7285,80077,42053,6519,33070,2464,17041,4255,9068,2627,1091,20983,7627,2543,10813,273753,4,2009,2009-04-01
998016,369131,369131,306505,6941,55685,76457,76457,3889,4782,18723,25637,23426,203716,119323,12122,22292,84909,28604,15239,4896,5345,3124,19296,3462,4902,2688,8244,36493,20002,9082,7409,78980,41372,6402,32489,2481,16824,4209,8939,2602,1074,20784,7558,2538,10688,269732,5,2009,2009-05-01
1010032,374258,374258,310430,7297,56531,76206,76206,3954,4904,18220,25562,23566,206166,120075,12364,21660,86051,29045,15613,4959,5360,3113,19789,3531,5081,2788,8389,37257,20626,9270,7361,79830,41917,6701,32618,2598,16922,4245,8942,2636,1099,20991,7613,2566,10812,273572,6,2009,2009-06-01
1029884,375807,375807,311704,7244,56859,75306,75306,3840,4637,18114,25402,23313,208022,120466,12443,22033,85990,29271,15686,5031,5460,3094,20275,3511,5323,2882,8559,38010,20975,9636,7399,80674,42751,7428,32701,2622,16857,4216,8846,2655,1140,21066,7659,2576,10831,290075,7,2009,2009-07-01
1077250,403165,403165,332830,7597,62738,79266,79266,3937,4873,18854,26055,25547,217445,125143,13444,22275,89424,31314,16935,5279,5663,3437,21539,3801,5491,3066,9181,39449,21588,9871,7990,85950,45601,7884,35038,2679,17836,4341,9560,2751,1184,22513,8452,2680,11381,291424,8,2009,2009-08-01
1086332,405179,405179,334810,7906,62463,80122,80122,4014,5063,18622,26426,25997,220644,126258,13664,22570,90024,32144,17484,5321,5810,3529,22286,3888,5590,3408,9400,39956,22050,9810,8096,87104,46056,8117,35200,2739,18173,4387,9705,2892,1189,22875,8680,2685,11510,293283,9,2009,2009-09-01
1087741,406085,406085,335116,7975,62994,78913,78913,4041,4992,18126,26381,25373,222724,126748,13836,22513,90399,32342,17631,5437,5830,3444,22340,3928,5586,3308,9518,41294,22944,10002,8348,87336,46007,8070,35134,2803,18318,4427,9809,2867,1215,23011,8696,2710,11605,292683,10,2009,2009-10-01
1095545,410510,410510,337926,8006,64578,78760,78760,4009,4989,17937,26417,25408,223146,127007,13601,22464,90942,32151,17197,5563,5895,3496,22707,3939,5754,3250,9764,41281,22745,10145,8391,88609,46307,8321,35156,2830,18703,4484,10099,2889,1231,23599,8680,2720,12199,294520,11,2009,2009-11-01
1101692,411502,411502,338807,7744,64951,80534,80534,4194,4872,18690,27168,25610,225483,127968,13781,23157,91030,33355,18120,5613,6030,3592,22786,3975,5681,3275,9855,41374,22740,10084,8550,89233,46602,8553,35213,2836,18785,4531,10131,2909,1214,23846,8849,2725,12272,294940,12,2009,2009-12-01
1106637,412758,412758,339428,7691,65639,82072,82072,4112,4963,19556,27567,25874,225417,127604,14078,23749,89777,33181,17918,5629,6101,3533,22967,3989,5635,3404,9939,41665,22849,10261,8555,89118,46296,8475,34982,2839,18895,4578,10163,2926,1228,23927,8817,2778,12332,297272,1,2010,2010-01-01
1109888,412746,412746,339602,7760,65384,82647,82647,4016,4893,19869,27781,26088,225062,126129,13811,23668,88650,33635,18090,5645,6241,3659,23084,3974,5610,3534,9966,42214,23310,10387,8517,89693,46859,8693,35309,2857,18875,4556,10174,2926,1219,23959,8872,2758,12329,299740,2,2010,2010-02-01
1132104,416544,416544,342561,7752,66231,83171,83171,3951,4940,19862,28022,26396,228739,128916,14030,24133,90753,33697,18158,5680,6211,3648,23267,3974,5653,3554,10086,42859,23650,10514,8695,90007,47216,8792,35560,2864,18695,4483,10035,2936,1241,24096,9016,2752,12328,313643,3,2010,2010-03-01
1149674,420343,420343,344985,8034,67324,84299,84299,4086,5127,20023,28347,26716,232430,131623,14306,24385,92932,33332,17668,5699,6293,3672,23528,4061,5701,3602,10164,43947,24689,10628,8630,90429,47441,8696,35870,2875,18788,4495,10073,2949,1271,24200,8933,2821,12446,322173,4,2010,2010-04-01
1141771,418309,418309,344032,7793,66484,84385,84385,4047,5013,19716,28408,27201,231363,132058,14484,24070,93504,33735,18121,5696,6235,3683,23268,4055,5635,3336,10242,42302,23357,10446,8499,90039,47497,8817,35891,2789,18814,4468,10090,2947,1309,23728,8953,2815,11960,317675,5,2010,2010-05-01
1130230,411909,411909,337636,7738,66535,83159,83159,3959,4886,19215,28273,26826,229599,131579,14352,23488,93739,33269,18048,5632,6059,3530,22646,3976,5249,3342,10079,42105,23290,10389,8426,88485,47348,8690,35928,2730,18537,4400,9949,2889,1299,22600,8069,2790,11741,317078,6,2010,2010-06-01
1141222,417203,417203,341248,7758,68197,83065,83065,3934,4872,18952,28380,26927,230323,131933,14536,22578,94819,33432,18233,5694,6079,3426,23035,4033,5515,3379,10108,41923,23173,10426,8324,88804,47246,8830,35710,2706,18561,4431,9885,2932,1313,22997,8382,2820,11795,321827,7,2010,2010-07-01
1144899,416592,416592,341041,7731,67820,83393,83393,3920,4884,19176,28296,27117,232957,133802,14958,23143,95701,33460,18151,5682,6121,3506,23360,4080,5720,3290,10270,42335,23385,10512,8438,89192,47435,9038,35667,2730,18706,4483,9956,2945,1322,23051,8381,2844,11826,322765,8,2010,2010-08-01
1150815,421356,421356,344944,7959,68453,82932,82932,3977,4976,19201,27867,26911,233715,133588,15067,22897,95624,33953,18604,5634,6217,3498,22987,4028,5558,3252,10149,43187,24230,10669,8288,88605,47253,8989,35639,2625,18398,4373,9805,2916,1304,22954,8248,2846,11860,324207,9,2010,2010-09-01
1154310,423073,423073,346035,7936,69102,83074,83074,3838,5008,19115,28354,26759,234628,133737,15083,22960,95694,34072,18551,5631,6353,3537,23449,4096,5602,3410,10341,43370,24200,10743,8427,88913,47688,8912,36128,2648,18323,4358,9683,2891,1391,22902,8189,2845,11868,324622,10,2010,2010-10-01
1166916,431200,431200,351228,8164,71808,83389,83389,4071,5144,19361,28573,26240,241010,136880,15625,23652,97603,34868,18906,5784,6591,3587,24010,4190,5825,3449,10546,45252,25187,11204,8861,91970,49212,9305,37172,2735,19062,4472,10214,2981,1395,23696,8602,2908,12186,319347,11,2010,2010-11-01
1181150,433841,433841,352591,8209,73041,85353,85353,4049,5210,20053,28992,27049,242729,137499,16110,23830,97559,35390,19175,5868,6664,3683,24198,4212,5935,3482,10569,45642,25343,11425,8874,93156,49832,9645,37372,2815,19293,4497,10344,3034,1418,24031,8702,2921,12408,326071,12,2010,2010-12-01
1182984,432759,432759,351521,7924,73314,85666,85666,4041,5119,20439,28979,27088,241467,136359,15947,23874,96538,35575,19347,5952,6566,3710,24138,4212,5961,3466,10499,45395,24898,11607,8890,93231,49849,9812,37273,2764,19376,4531,10395,3055,1395,24006,8660,2912,12434,329861,1,2011,2011-01-01
1181928,429409,429409,349265,7814,72330,85756,85756,4164,5151,20693,28925,26823,240023,134911,15534,23717,95660,35587,19263,5962,6661,3701,23940,4164,5917,3475,10384,45585,24966,11792,8827,92353,49334,9733,36805,2796,19129,4544,10233,2999,1353,23890,8628,2884,12378,334387,2,2011,2011-02-01
1194822,430774,430774,350063,7814,72897,86766,86766,4176,5178,20955,29415,27042,243292,137637,16059,23840,97738,35937,19509,5980,6651,3797,23930,4201,5743,3488,10498,45788,25172,11658,8958,93452,49661,9902,36996,2763,19330,4572,10284,3089,1385,24461,9064,2907,12490,340538,3,2011,2011-03-01
1209403,434047,434047,352337,7998,73712,87739,87739,4271,5341,21228,29531,27368,247087,139503,15771,24057,99675,36516,19817,6056,6795,3848,24165,4268,5919,3521,10457,46903,25907,11909,9087,94716,50263,10032,37426,2805,19557,4611,10424,3127,1395,24896,9271,2962,12663,345814,4,2011,2011-04-01
1183558,429608,429608,348580,7920,73108,85727,85727,4084,4728,21027,28979,26909,240339,136614,14912,23486,98216,34819,18420,5952,6570,3877,23026,3887,5727,3393,10019,45880,25110,11735,9035,90671,47705,8212,36736,2757,19140,4519,10290,2914,1417,23826,8470,2932,12424,337213,5,2011,2011-05-01
1198763,433112,433112,350400,8096,74616,86348,86348,4147,5227,20682,29062,27230,248317,140675,16187,24033,100455,36625,19869,6107,6825,3824,24056,4148,5852,3557,10499,46961,25682,12034,9245,93703,49788,9463,37544,2781,19185,4622,10093,3041,1429,24730,9115,2969,12646,337283,6,2011,2011-06-01
1214674,437659,437659,353035,8499,76125,87651,87651,4177,5437,20903,29682,27452,250742,141483,16430,23564,101489,36869,19910,6221,6922,3816,24372,4221,5947,3593,10611,48018,26383,12176,9459,95595,51002,9795,38383,2824,19377,4651,10190,3080,1456,25216,9307,2978,12931,343027,7,2011,2011-07-01
1219579,438571,438571,353195,8493,76883,87654,87654,4322,5450,21229,29313,27340,251427,141642,16477,23634,101531,37200,20160,6203,6895,3942,24455,4261,5925,3598,10671,48130,26474,12129,9527,110883,50594,9687,38055,2852,35278,4661,10183,18990,1444,25011,9060,3011,12940,331044,8,2011,2011-08-01
1215711,436642,436642,349902,8429,78311,87897,87897,4315,5411,21192,29571,27408,252406,142281,16398,23834,102049,37540,20332,6209,7020,3979,24433,4247,5950,3593,10643,48152,26487,12210,9455,103930,50449,9633,38010,2806,28133,4609,10141,11990,1393,25348,9336,3008,13004,334836,9,2011,2011-09-01
1219753,441669,441669,353578,8554,79537,86740,86740,4189,5352,20853,29058,27288,251219,141710,15908,23833,101969,36975,19940,6229,6909,3897,24307,4246,5974,3532,10555,48227,26635,12093,9499,95047,49998,8811,38352,2835,19400,4644,10281,2994,1481,25649,9430,3062,13157,345078,10,2011,2011-10-01
1221054,442794,442794,353734,8656,80404,86675,86675,4228,5359,21075,29168,26845,252029,142158,16096,23612,102450,36758,19612,6309,6879,3958,24329,4236,5934,3548,10611,48784,26854,12296,9634,373424,49936,8630,38440,2866,297313,4689,10417,280740,1467,26175,9577,3135,13463,66132,11,2011,2011-11-01
1226270,443025,443025,352796,8711,81518,88230,88230,4334,5512,21741,29463,27180,253358,142621,16131,23912,102578,37610,20324,6352,6886,4048,24373,4268,5974,3604,10527,48754,26545,12377,9832,96067,50005,8887,38224,2894,19921,4766,10529,3167,1459,26141,9505,3154,13482,345590,12,2011,2011-12-01
1226769,442428,442428,351910,8654,81864,88617,88617,4291,5559,22169,29721,26877,252852,142179,16285,23689,102205,37835,20395,6417,6985,4038,24257,4209,5891,3628,10529,48581,26369,12459,9753,96013,50035,8840,38283,2912,19972,4822,10517,3165,1468,26006,9477,3162,13367,346859,1,2012,2012-01-01
1226796,443891,443891,353120,8688,82083,90096,90096,4364,5662,22477,30095,27498,252093,141935,16145,24426,101364,37496,19762,6476,7078,4180,24112,4289,5941,3638,10244,48550,26301,12573,9676,95915,49907,8833,38124,2950,20046,4870,10490,3213,1473,25962,9441,3180,13341,344801,2,2012,2012-02-01
1245125,448210,448210,356295,8758,83157,90628,90628,4454,5686,22761,29995,27732,256880,144714,16552,24427,103735,38167,20201,6536,7150,4280,24540,4374,6048,3821,10297,49459,26835,12794,9830,97641,51037,9027,38994,3016,20061,4908,10643,3048,1462,26543,9747,3221,13575,351766,3,2012,2012-03-01
1252603,448401,448401,356003,8805,83593,91449,91449,4510,5748,22946,30350,27895,259969,147187,16639,25057,105491,38599,20508,6567,7229,4295,24689,4396,6063,3853,10377,49494,26837,12764,9893,97894,51098,9052,39006,3040,20375,4928,10764,3207,1476,26421,9731,3232,13458,354890,4,2012,2012-04-01
1256915,451938,451938,358927,8822,84189,91579,91579,4568,5739,22913,30515,27844,259572,146992,16752,24798,105442,38151,19956,6608,7257,4330,24943,4459,6159,3876,10449,49486,26809,12685,9992,98698,51267,9075,39145,3047,20539,4963,10914,3172,1490,26892,9908,3264,13720,355128,5,2012,2012-05-01
1265012,453534,453534,359409,8917,85208,91673,91673,4644,5774,22770,30586,27899,262584,148236,16980,24671,106585,39382,21011,6698,7311,4362,25045,4498,6150,3893,10504,49921,26933,12825,10163,98993,51466,9101,39297,3068,20667,5038,10962,3194,1473,26860,9796,3288,13776,358228,6,2012,2012-06-01
1221903,441847,441847,350349,8712,82786,87998,87998,4533,5576,21672,29104,27113,252521,143235,16062,23697,103476,37334,19682,6522,7077,4053,24426,4438,6003,3790,10195,47526,25745,12057,9724,96144,49789,8722,38069,2998,20186,4905,10699,3142,1440,26169,9561,3212,13396,343393,7,2012,2012-07-01
1258081,450557,450557,355937,8875,85745,90685,90685,4603,5744,22653,29834,27851,262184,148578,16768,24661,107149,39625,21264,6703,7308,4350,25159,4494,6231,3890,10544,48822,26531,12418,9873,98377,51101,8886,39154,3061,20400,4922,10895,3100,1483,26876,9851,3251,13774,356278,8,2012,2012-08-01
1271421,454948,454948,359728,8878,86342,90765,90765,4604,5806,22650,29953,27752,263198,149415,17041,24782,107592,39725,21226,6717,7373,4409,25107,4538,6219,3838,10512,48951,26839,12448,9664,98696,51334,8889,39385,3060,20514,4946,10864,3177,1527,26848,9827,3289,13732,363814,9,2012,2012-09-01
1267743,452759,452759,357793,8964,86002,90008,90008,4635,5734,22251,29786,27602,263031,149078,17121,24853,107104,39266,20790,6746,7353,4377,25497,4725,6279,3837,10656,49190,27018,12470,9702,98571,51239,8922,39212,3105,20409,4941,10785,3193,1490,26923,9913,3281,13729,363374,10,2012,2012-10-01
1278081,453758,453758,358387,8985,86386,90249,90249,4683,5867,22113,29592,27994,265934,150573,17207,25432,107934,39811,21250,6724,7452,4385,25748,4805,6356,3864,10723,49802,27401,12671,9730,99120,51502,9033,39316,3153,20542,4929,10911,3207,1495,27076,9949,3281,13846,369020,11,2012,2012-11-01
1283471,454242,454242,358059,9034,87149,91367,91367,4660,5952,22641,29866,28248,266969,150609,17503,25168,107938,40370,21510,6819,7540,4501,26017,4858,6402,3899,10858,49973,27596,12570,9807,99339,51303,8872,39275,3156,20796,4997,11167,3307,1325,27240,10001,3272,13967,371554,12,2012,2012-12-01
1286037,456085,456085,359239,9120,87726,92751,92751,4831,5989,23205,30427,28299,267170,150996,17613,25957,107426,40100,21182,6816,7620,4482,26122,4879,6397,3901,10945,49952,27432,12727,9793,99628,51352,8882,39322,3148,20878,5071,11217,3253,1337,27398,10100,3290,14008,370403,1,2013,2013-01-01
1291590,455977,455977,359658,9142,87177,93578,93578,4839,5998,23650,30522,28569,269305,151777,17320,26203,108254,41039,21771,6920,7713,4635,26233,4897,6430,3968,10938,50256,27353,12915,9988,100095,51525,8887,39468,3170,21150,5086,11278,3248,1538,27420,10131,3297,13992,372635,2,2013,2013-02-01
1305287,457632,457632,359976,9180,88476,94374,94374,4885,6095,23789,30672,28933,274005,154880,17605,26656,110619,41682,22088,7040,7840,4714,26619,5001,6468,4005,11145,50824,27796,12988,10040,101165,52060,9115,39728,3217,21427,5149,11387,3337,1554,27678,10263,3341,14074,378111,3,2013,2013-03-01
1311892,459052,459052,360803,9356,88893,94395,94395,4933,6099,23829,30776,28758,276777,156579,17717,26776,112086,42156,22282,7119,7960,4795,27048,5080,6551,4099,11318,50994,27813,13087,10094,101942,52511,9234,40031,3246,21350,5191,11453,3305,1401,28081,10497,3377,14207,379726,4,2013,2013-04-01
1326079,465800,465800,366063,9439,90298,95196,95196,4945,6204,24015,31132,28900,280155,158900,18170,26978,113752,42532,22547,7149,7951,4885,27329,5130,6638,4113,11448,51394,28261,12997,10136,102747,52751,9230,40219,3302,21728,5207,11587,3380,1554,28268,10596,3423,14249,382181,5,2013,2013-05-01
1335554,466750,466750,366886,9459,90405,94870,94870,4947,6203,23611,31185,28924,282427,159996,18587,26835,114574,42924,22740,7193,8112,4879,27587,5172,6673,4127,11615,51920,28674,13027,10219,102743,52887,9250,40306,3331,21530,5208,11504,3402,1416,28326,10572,3439,14315,388764,6,2013,2013-06-01
1339106,468815,468815,367908,9592,91315,95040,95040,4971,6238,23623,31420,28788,283120,159833,18689,25944,115200,43326,23033,7236,8113,4944,27753,5236,6693,4166,11658,52208,28945,13069,10194,103730,53531,9434,40731,3366,21505,5171,11486,3420,1428,28694,10780,3475,14439,388401,7,2013,2013-07-01
1349030,471443,471443,369584,9646,92213,95229,95229,4929,6279,23927,31365,28729,287527,162317,18912,26934,116471,43973,23312,7291,8270,5100,28194,5340,6804,4225,11825,53043,29498,13312,10233,104526,53920,9543,40982,3395,21776,5213,11665,3443,1455,28830,10730,3491,14609,390305,8,2013,2013-08-01
1352354,472875,472875,370267,9669,92939,95788,95788,5006,6282,23979,31631,28890,288774,163001,18898,26765,117338,44388,23528,7379,8338,5143,28340,5410,6848,4220,11862,53045,29646,13233,10166,104649,53944,9458,41047,3439,21921,5189,11699,3442,1591,28784,10729,3492,14563,390268,9,2013,2013-09-01
1349279,472970,472970,369884,9699,93387,94901,94901,4950,6337,23583,31373,28658,289599,163222,19035,26621,117566,44333,23578,7401,8262,5092,28544,5412,6864,4293,11975,53500,29818,13409,10273,105137,54171,9431,41283,3457,22027,5228,11749,3437,1613,28939,10858,3512,14569,386672,10,2013,2013-10-01
1366360,478562,478562,373646,9805,95111,95828,95828,4986,6429,23882,31576,28955,293003,165132,19353,27072,118707,45118,23965,7475,8480,5198,28964,5491,6930,4340,12203,53789,29885,13505,10399,106289,54571,9480,41601,3490,22312,5253,11908,3479,1672,29406,11095,3540,14771,392678,11,2013,2013-11-01
1374494,480737,480737,375039,9932,95766,97056,97056,5082,6476,24625,31705,29168,294338,165927,19609,27401,118917,45456,24048,7601,8571,5236,29049,5514,6915,4359,12261,53906,30067,13290,10549,106917,55116,9711,41858,3547,22438,5371,11993,3520,1554,29363,10898,3563,14902,395446,12,2013,2013-12-01
1377911,481486,481486,375170,9943,96373,98293,98293,5228,6463,25114,32005,29483,294367,165657,19730,27539,118388,45693,24111,7606,8602,5374,29124,5507,6946,4397,12274,53893,30031,13267,10595,107442,55123,9771,41790,3562,22734,5474,12133,3558,1569,29585,11110,3528,14947,396323,1,2014,2014-01-01
1376298,480088,480088,373653,9975,96460,98469,98469,5254,6536,25416,31994,29269,295586,166261,19627,28050,118584,46091,24375,7609,8670,5437,29139,5499,6985,4384,12271,54095,30342,13253,10500,107909,55281,9761,41964,3556,22906,5569,12130,3505,1702,29722,11178,3543,15001,394246,2,2014,2014-02-01
1387689,482793,482793,375584,10022,97187,99607,99607,5341,6558,25610,32267,29831,299479,169395,19844,28472,121079,45770,23717,7703,8715,5635,29681,5529,7098,4505,12549,54633,30650,13375,10608,109082,56047,10000,42450,3597,22983,5595,12236,3575,1577,30052,11397,3585,15070,396728,3,2014,2014-03-01
1408893,490039,490039,381115,10280,98644,100805,100805,5416,6732,25840,32392,30425,305995,172847,20554,28973,123320,47562,25073,7794,9002,5693,30174,5663,7208,4533,12770,55412,31072,13402,10938,111169,56770,10188,42965,3617,23388,5708,12451,3644,1585,31011,11730,3629,15652,400885,4,2014,2014-04-01
1423585,493828,493828,383669,10443,99716,101393,101393,5481,6808,25934,32588,30582,310340,175283,20842,29515,124926,48266,25509,7909,9083,5765,30611,5731,7320,4585,12975,56180,31519,13516,11145,112596,57399,10264,43490,3645,23647,5752,12617,3684,1594,31550,11957,3686,15907,405428,5,2014,2014-05-01
1434366,497793,497793,386518,10598,100677,101511,101511,5525,6859,25809,32503,30815,313728,177339,21261,29640,126438,48507,25691,7921,9139,5756,30900,5764,7416,4603,13117,56982,31903,13710,11369,113576,57921,10477,43773,3671,23832,5811,12683,3705,1633,31823,11932,3727,16164,407758,6,2014,2014-06-01
1435833,498770,498770,386861,10678,101231,101609,101609,5543,6853,25776,32676,30761,315444,178309,21420,29584,127305,48852,25930,7958,9211,5753,31134,5817,7481,4647,13189,57149,31969,13797,11383,114229,58158,10497,43964,3697,23962,5798,12809,3716,1639,32109,12023,3774,16312,405781,7,2014,2014-07-01
1449086,503594,503594,390159,10873,102562,101849,101849,5543,6893,26171,32505,30737,319439,180389,21585,29950,128854,49517,26318,8127,9330,5742,31569,5917,7517,4719,13416,57964,32485,14058,11421,115277,58632,10572,44317,3743,24120,5817,12904,3742,1657,32525,12120,3799,16606,408927,8,2014,2014-08-01
1452677,504917,504917,390938,10933,103046,102169,102169,5534,6882,26317,32785,30651,320944,181313,21739,29965,129609,49787,26389,8199,9406,5793,31747,6006,7531,4741,13469,58097,32566,14082,11449,115579,58705,10569,44362,3774,24270,5834,12987,3777,1672,32604,12114,3811,16679,409068,9,2014,2014-09-01
1462438,509689,509689,394269,11197,104223,103140,103140,5641,6938,26235,33226,31100,323969,182246,21960,30250,130036,50621,26771,8307,9608,5935,32333,6052,7676,4837,13768,58769,33078,14034,11657,116924,59142,10606,44713,3823,24644,5929,13175,3827,1713,33138,12301,3906,16931,408716,10,2014,2014-10-01
1481830,513292,513292,396843,11302,105147,104122,104122,5766,7180,26473,33420,31283,328476,184429,22906,30547,130976,51782,27355,8527,9777,6123,32618,6117,7782,4872,13847,59647,33393,14368,11886,118984,60175,10891,45284,4000,24927,6017,13328,3847,1735,33882,12546,4061,17275,416956,11,2014,2014-11-01
1490278,515680,515680,398103,11462,106115,105284,105284,5826,7221,26963,33468,31806,330182,185187,23039,30946,131202,52291,27512,8627,9901,6251,32840,6174,7862,4890,13914,59864,33306,14566,11992,120059,60599,11017,45618,3964,25105,6090,13363,3984,1668,34355,12745,4145,17465,419073,12,2014,2014-12-01
